名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
4- 6.,"536,910.9 ","289,965.9 ","284,165.5 ","237,855.2 ","26,590.6 ","89,785.7 ","1,440.8 ","94,011.5 ","27,554.3 ",-1.8 ,"7,564.0 ","71,540.4 ","63,976.4 ",,"11,668.7 ","15,814.2 ","4,145.5 ","548,579.7 ",,"529,347.0 ","407,783.0 ","121,563.9 ",,"143,930.6 ",,"535,471.9 ",,,,,,
7- 9.,"539,036.3 ","291,707.0 ","285,835.7 ","239,271.4 ","27,078.0 ","91,355.0 ",265.1 ,"94,107.2 ","28,164.7 ",23.2 ,"6,336.1 ","74,484.3 ","68,148.2 ",,"12,365.5 ","16,553.9 ","4,188.3 ","551,401.8 ",,"532,700.2 ","410,405.1 ","122,295.1 ",,"146,597.7 ",,"538,748.0 ",,,,,,
10-12.,"539,555.9 ","292,140.4 ","286,225.2 ","239,328.1 ","27,397.8 ","89,924.4 ",58.0 ,"94,391.7 ","27,630.7 ",39.0 ,"7,973.9 ","79,564.7 ","71,590.8 ",,"13,272.4 ","18,011.9 ","4,739.5 ","552,828.3 ",,"531,582.0 ","409,520.6 ","122,061.4 ",,"144,952.9 ",,"539,458.8 ",,,,,,
2006/ 1- 3.,"538,787.4 ","292,965.7 ","287,037.2 ","239,896.4 ","27,217.4 ","89,966.9 ",98.0 ,"93,811.1 ","28,484.2 ",27.5 ,"6,216.7 ","81,086.5 ","74,869.8 ",,"14,020.6 ","19,180.5 ","5,159.9 ","552,807.9 ",,"532,570.7 ","410,247.9 ","122,322.8 ",,"145,668.5 ",,"538,661.9 ",,,,,,
4- 6.,"539,139.5 ","293,573.2 ","287,604.8 ","240,241.5 ","27,323.1 ","91,803.4 ",-926.4 ,"93,823.8 ","27,417.5 ",-39.1 ,"6,164.1 ","81,979.7 ","75,815.6 ",,"13,888.5 ","19,422.7 ","5,534.2 ","553,028.0 ",,"532,975.4 ","411,773.2 ","121,202.2 ",,"146,543.9 ",,"540,105.0 ",,,,,,
7- 9.,"538,339.7 ","291,730.4 ","285,711.1 ","238,204.7 ","27,457.6 ","91,772.8 ",944.4 ,"93,683.8 ","26,144.1 ",23.6 ,"6,582.9 ","84,967.6 ","78,384.7 ",,"14,510.8 ","20,191.7 ","5,681.0 ","552,850.4 ",,"531,756.7 ","411,905.3 ","119,851.5 ",,"145,374.6 ",,"537,371.7 ",,,,,,
10-12.,"546,008.2 ","295,637.0 ","289,615.5 ","241,884.5 ","27,436.4 ","93,719.9 ",791.9 ,"93,434.4 ","26,483.0 ",-32.3 ,"8,538.0 ","86,824.0 ","78,286.0 ",,"15,339.2 ","21,649.5 ","6,310.3 ","561,347.4 ",,"537,470.2 ","417,585.1 ","119,885.1 ",,"147,639.2 ",,"545,248.6 ",,,,,,
2007/ 1- 3.,"546,779.1 ","293,947.3 ","287,974.1 ","239,985.1 ","27,159.0 ","93,997.5 ","2,520.0 ","93,291.3 ","26,396.0 ",-55.9 ,"9,523.9 ","89,887.0 ","80,363.1 ",,"16,375.0 ","23,088.4 ","6,713.4 ","563,154.1 ",,"537,255.2 ","417,623.8 ","119,631.4 ",,"147,552.5 ",,"544,315.0 ",,,,,,
4- 6.,"547,730.0 ","296,493.2 ","290,571.5 ","242,359.6 ","26,911.2 ","93,152.9 ","1,021.0 ","94,650.1 ","25,870.3 ",138.8 ,"9,492.3 ","93,289.6 ","83,797.3 ",,"17,120.0 ","23,385.0 ","6,265.0 ","564,849.9 ",,"538,237.6 ","417,578.4 ","120,659.3 ",,"145,934.4 ",,"546,570.2 ",,,,,,
7- 9.,"541,621.0 ","292,976.4 ","287,093.9 ","238,676.8 ","24,804.1 ","91,994.4 ","1,342.4 ","94,106.2 ","25,649.9 ",42.2 ,"10,705.4 ","94,263.4 ","83,558.0 ",,"15,364.6 ","23,407.2 ","8,042.6 ","556,985.5 ",,"530,915.6 ","411,117.2 ","119,798.3 ",,"142,448.4 ",,"540,236.3 ",,,,,,
