STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2018-05,,106.54810024000001,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2018-08,,107.03314470000001,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2018-09,,107.19482619,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2019-02,,105.30854217000001,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2019-03,,106.38641875999998,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2019-07,,106.44031258,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2019-08,,105.84748046000001,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2019-09,,105.57801132,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2019-10,,105.95526812,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2020-02,,105.14686068,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2020-07,,103.63783346999999,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2020-08,,104.01509027,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2020-11,,104.82349770999998,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2021-07,,118.29264348999999,,A,Normal value,0,Units,1,One,2015,
