cat01_code,cat01_name,cat02_code,cat02_name,value,unit
0502900,201403,1101200000,1101200000 非鉄金属工業,101,
0502900,201403,1102000000,1102000000 金属製品工業,97,
0502900,201403,1103000000,1103000000 生産用機械工業,105.6,
0502900,201403,1104000000,1104000000 汎用・業務用機械工業,103.9,
0502900,201403,1105000000,1105000000 電子部品・デバイス工業,95.9,
0502900,201403,1106000000,1106000000 電気・情報通信機械工業,119.3,
0502900,201403,1106100000,1106100000 電気機械工業,116.4,
0502900,201403,1106200000,1106200000 情報通信機械工業,129.8,
0502900,201403,1107000000,1107000000 輸送機械工業,110.9,
0502900,201403,1108000000,1108000000 窯業・土石製品工業,104.6,
0502900,201403,1109000000,1109000000 化学工業,96.2,
0502900,201403,1111000000,1111000000 石油・石炭製品工業,96,
0502900,201403,1113000000,1113000000 パルプ・紙・紙加工品工業,104.8,
0502900,201403,1115000000,1115000000 その他工業,102.7,
0502900,201403,1115100000,1115100000 繊維工業,102.4,
0502900,201403,1115600000,1115600000 その他製品工業,103.1,
0502900,201403,4100100000,4100100000 機械工業,108.7,
0502900,201403,4100200000,4100200000 製造工業（除．機械工業）,100,
0502900,201403,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,104.5,
0502900,201403,4300001000,4300001000 <旧特掲>家庭用電気製品,112.9,
0502900,201403,4300002000,4300002000 <旧特掲>乗用車・バス・トラック,111.2,
0502900,201403,4300003000,4300003000 <旧特掲>石油化学製品,90.6,
0503100,201404,1100000000,1100000000 製造工業,103,
0503100,201404,1101000000,1101000000 鉄鋼・非鉄金属工業,103,
0503100,201404,1101100000,1101100000 鉄鋼業,104.3,
0503100,201404,1101200000,1101200000 非鉄金属工業,100.9,
0503100,201404,1102000000,1102000000 金属製品工業,95.6,
0503100,201404,1103000000,1103000000 生産用機械工業,100.1,
0503100,201404,1104000000,1104000000 汎用・業務用機械工業,104.1,
0503100,201404,1105000000,1105000000 電子部品・デバイス工業,97.2,
0503100,201404,1106000000,1106000000 電気・情報通信機械工業,114.1,
0503100,201404,1106100000,1106100000 電気機械工業,106.3,
0503100,201404,1106200000,1106200000 情報通信機械工業,136.6,
0503100,201404,1107000000,1107000000 輸送機械工業,106.4,
0503100,201404,1108000000,1108000000 窯業・土石製品工業,107.1,
0503100,201404,1109000000,1109000000 化学工業,95.2,
0503100,201404,1111000000,1111000000 石油・石炭製品工業,100.9,
0503100,201404,1113000000,1113000000 パルプ・紙・紙加工品工業,99.4,
0503100,201404,1115000000,1115000000 その他工業,102.4,
0503100,201404,1115100000,1115100000 繊維工業,101.7,
0503100,201404,1115600000,1115600000 その他製品工業,103,
0503100,201404,4100100000,4100100000 機械工業,105.7,
0503100,201404,4100200000,4100200000 製造工業（除．機械工業）,99.5,
0503100,201404,4200100000,4200100000 <旧分類>はん用・生産用・業務用機械工業,102.1,
0503100,201404,4300001000,4300001000 <旧特掲>家庭用電気製品,104.9,
