scenario,variable,year,value_repro,value_paper,diff
2,PXGS,2020,0.1478238,0.02,0.1278238
2,RCD,2018,0.0,0.0,0.0
2,RCD,2019,0.0,0.0,0.0
2,RCD,2020,0.0,0.0,0.0
2,RGB,2018,0.00014073,0.0,0.00014073
2,RGB,2019,0.00096917,0.0,0.00096917
2,RGB,2020,0.00103687,0.0,0.00103687
2,SBGVATGDPV,2018,-2.45069387,-2.47,0.01930613
2,SBGVATGDPV,2019,-3.09280759,-3.11,0.01719241
2,SBGVATGDPV,2020,-4.06972107,-4.03,-0.03972107
2,TAXV,2018,1.10286907,1.21,-0.10713093
2,TAXV,2019,2.3502905,2.5,-0.1497095
2,TAXV,2020,2.91250456,3.02,-0.10749544
2,TCIV,2018,1.16082858,1.15,0.01082858
2,TCIV,2019,1.58246537,1.56,0.02246537
2,TCIV,2020,1.93229189,1.89,0.04229189
2,TYCV,2018,1.97125498,2.03,-0.05874502
2,TYCV,2019,5.13979267,5.31,-0.17020733
2,TYCV,2020,6.26557718,6.34,-0.07442282
2,TYPV,2018,0.88671937,1.2,-0.31328063
2,TYPV,2019,1.58905555,1.97,-0.38094445
2,TYPV,2020,1.91182464,2.28,-0.36817536
2,UCC,2018,-1.24790034,-1.08,-0.16790034
2,UCC,2019,-1.72178739,-1.66,-0.06178739
2,UCC,2020,-1.84294602,-1.94,0.09705398
2,UR,2018,-0.03335287,-0.03,-0.00335287
2,UR,2019,-0.05028889,-0.04,-0.01028889
2,UR,2020,-0.05595542,-0.05,-0.00595542
2,WIPH,2018,0.58515308,0.56,0.02515308
2,WIPH,2019,0.95421771,0.84,0.11421771
2,WIPH,2020,1.38731846,1.19,0.19731846
2,XGS,2018,1.459e-05,0.0,1.459e-05
2,XGS,2019,-0.0022441,0.0,-0.0022441
2,XGS,2020,-0.01361555,0.0,-0.01361555
2,XGSV,2018,0.00563582,0.0,0.00563582
2,XGSV,2019,0.04876735,0.01,0.03876735
2,XGSV,2020,0.13418656,0.03,0.10418656
2,YCV,2018,4.25592191,4.37,-0.11407809
2,YCV,2019,4.78158201,4.83,-0.04841799
2,YCV,2020,6.18662784,7.0,-0.81337216
2,YDV,2018,0.94755471,0.91,0.03755471
2,YDV,2019,1.30849595,1.27,0.03849595
2,YDV,2020,1.61076958,1.53,0.08076958
2,YWV,2018,1.03166525,1.05,-0.01833475
2,YWV,2019,1.39482845,1.42,-0.02517155
2,YWV,2020,1.78398107,1.76,0.02398107
